Sr.No,State/UT,Consumers who availed cash discount
1,Andaman and Nicobar Islands,0
2,Andhra Pradesh,72035
3,Arunachal Pradesh,59
4,Assam,7788
5,Bihar,19924
6,Chandigarh,4630
7,Chhattisgarh,16256
8,Dadra and Nagar Haveli,2074
9,Daman and Diu,1128
10,Delhi,156428
11,Goa,6499
12,Gujarat,99128
13,Haryana,99861
14,Himachal Pradesh,3251
15,Jammu and Kashmir,3159
16,Jharkhand,12530
17,Karnataka,343160
18,Kerala,70226
19,Lakshadweep,0
20,Madhya Pradesh,55420
21,Maharashtra,712978
22,Manipur,6
23,Meghalaya,220
24,Mizoram,4
25,Nagaland,15
26,Odisha,33410
27,Puducherry,5587
28,Punjab,36127
29,Rajasthan,59805
30,Sikkim,19
31,Tamil Nadu,287493
32,Telangana,214051
33,Tripura,192
34,Uttar Pradesh,117590
35,Uttarakhand,14426
36,West Bengal,78178
Total,Total,2533657
