Sl. No.,Year,State/UT,Primary (Highest Class 5),Upper Primary (Highest Class 8),Secondary (Highest Class 10),Higher Secondary (Highest Class 12)
1,2013-14,Andaman & Nicobar Islands,273,76,48,61
2,2013-14,Andhra Pradesh,66222,16992,21360,4862
3,2013-14,Arunachal Pradesh,2363,1144,234,138
4,2013-14,Assam,47947,13065,5993,1633
5,2013-14,Bihar,42525,32069,3358,2568
6,2013-14,Chandigarh,11,26,70,85
7,2013-14,Chhattisgarh,35325,15008,2435,3626
8,2013-14,Dadra & Nagar Haveli,181,122,21,19
9,2013-14,Daman & Diu,55,29,19,23
10,2013-14,Delhi,2678,710,389,1612
11,2013-14,Goa,1023,76,373,96
12,2013-14,Gujarat,11698,28918,4572,5965
13,2013-14,Haryana,10249,4358,3434,3936
14,2013-14,Himachal Pradesh,11292,3042,1424,1977
15,2013-14,Jammu & Kashmir,14626,10093,2999,1067
16,2013-14,Jharkhand,27747,15192,3143,1296
17,2013-14,Karnataka,26792,30715,13106,4241
18,2013-14,Kerala,8572,4117,1623,2746
19,2013-14,Lakshadweep,18,15,0,13
20,2013-14,Madhya Pradesh,90401,46950,6634,7356
21,2013-14,Maharashtra,52991,28225,15754,7999
22,2013-14,Manipur,2812,938,879,182
23,2013-14,Meghalaya,9260,3384,1052,210
24,2013-14,Mizoram,1499,1422,582,114
25,2013-14,Nagaland,1806,902,564,143
26,2013-14,Odisha,36399,21945,9256,167
27,2013-14,Puducherry,284,98,197,146
28,2013-14,Punjab,14751,5659,4666,4229
29,2013-14,Rajasthan,54774,38807,16115,11179
30,2013-14,Sikkim,732,337,127,81
31,2013-14,Tamil Nadu,35177,9750,8,11893
32,2013-14,Telangana,NA,NA,NA,NA
33,2013-14,Tripura,2564,1273,574,389
34,2013-14,Uttar Pradesh,153220,73281,7682,15195
35,2013-14,Uttarakhand,15680,4707,1283,1977
36,2013-14,West Bengal,76969,8079,3568,6345
2013-14,2013-14,Total,858916,421524,133542,103569
1,2014-15,Andaman & Nicobar Islands,223,82,48,61
2,2014-15,Andhra Pradesh,40703,10100,10781,2577
3,2014-15,Arunachal Pradesh,2341,1200,250,139
4,2014-15,Assam,48478,13269,6579,1728
5,2014-15,Bihar,43223,32573,3822,3574
6,2014-15,Chandigarh,11,29,69,88
7,2014-15,Chhattisgarh,35149,15019,2521,3704
8,2014-15,Dadra & Nagar Haveli,176,128,20,20
9,2014-15,Daman & Diu,60,43,19,23
10,2014-15,Delhi,2776,921,384,1662
11,2014-15,Goa,988,78,384,103
12,2014-15,Gujarat,11689,29464,4424,6387
13,2014-15,Haryana,9849,4420,3361,4210
14,2014-15,Himachal Pradesh,11340,2982,1505,2144
15,2014-15,Jammu & Kashmir,14640,10209,3130,1068
16,2014-15,Jharkhand,27845,15469,3361,1202
17,2014-15,Karnataka,26909,30540,13165,4410
18,2014-15,Kerala,8462,4062,1637,2917
19,2014-15,Lakshadweep,18,14,0,13
20,2014-15,Madhya Pradesh,89119,47047,6701,7775
21,2014-15,Maharashtra,53243,28755,16090,8407
22,2014-15,Manipur,2971,919,892,192
23,2014-15,Meghalaya,9323,3540,1165,254
24,2014-15,Mizoram,1553,1514,610,132
25,2014-15,Nagaland,1428,862,543,169
26,2014-15,Odisha,36550,22497,9325,166
27,2014-15,Puducherry,285,96,198,153
28,2014-15,Punjab,14641,5601,4576,4364
29,2014-15,Rajasthan,41544,37563,15003,12682
30,2014-15,Sikkim,715,335,137,87
31,2014-15,Tamil Nadu,35307,9588,6,12291
32,2014-15,Telangana,25289,7263,10973,2210
33,2014-15,Tripura,2569,1265,588,396
34,2014-15,Uttar Pradesh,154982,74226,8415,15197
35,2014-15,Uttarakhand,15690,4900,1284,2155
36,2014-15,West Bengal,77029,8521,3369,6658
2014-15,2014-15,Total,847118,425094,135335,109318
1,2015-16,Andaman & Nicobar Islands,218,84,49,63
2,2015-16,Andhra Pradesh,39774,10088,11237,2589
3,2015-16,Arunachal Pradesh,2456,1266,263,155
4,2015-16,Assam,48529,13451,6987,2075
5,2015-16,Bihar,43472,33250,3709,3942
6,2015-16,Chandigarh,12,29,70,90
7,2015-16,Chhattisgarh,35028,15188,2488,3840
8,2015-16,Dadra & Nagar Haveli,177,129,20,21
9,2015-16,Daman & Diu,59,44,18,24
10,2015-16,Delhi,2755,940,378,1685
11,2015-16,Goa,974,86,385,110
12,2015-16,Gujarat,11848,29660,4355,6602
13,2015-16,Haryana,9995,4658,3363,4301
14,2015-16,Himachal Pradesh,11328,2930,1570,2212
15,2015-16,Jammu & Kashmir,14626,10287,3141,1061
16,2015-16,Jharkhand,28015,15918,3372,1229
17,2015-16,Karnataka,26796,30575,13629,4512
18,2015-16,Kerala,8429,4020,1733,2949
19,2015-16,Lakshadweep,17,14,1,13
20,2015-16,Madhya Pradesh,88603,47288,6794,8100
21,2015-16,Maharashtra,53197,29457,16301,8758
22,2015-16,Manipur,2951,933,899,210
23,2015-16,Meghalaya,9364,3598,1255,300
24,2015-16,Mizoram,1561,1512,615,138
25,2015-16,Nagaland,1379,848,563,175
26,2015-16,Odisha,36762,22796,9454,1291
27,2015-16,Puducherry,279,87,202,164
28,2015-16,Punjab,14551,5454,4618,4553
29,2015-16,Rajasthan,42677,37693,11238,16961
30,2015-16,Sikkim,706,346,140,87
31,2015-16,Tamil Nadu,35379,9733,5594,6877
32,2015-16,Telangana,24724,7443,11683,2176
33,2015-16,Tripura,2569,1262,603,411
34,2015-16,Uttar Pradesh,155778,75647,8632,15940
35,2015-16,Uttarakhand,15518,5052,1296,2221
36,2015-16,West Bengal,76726,9011,3297,6899
2015-16,2015-16,Total,847232,430777,139952,112734
1,2016-17,Andaman & Nicobar Islands,218,84,50,63
2,2016-17,Andhra Pradesh,39193,10272,11705,358
3,2016-17,Arunachal Pradesh,2304,1303,293,158
4,2016-17,Assam,48567,13660,7089,2144
5,2016-17,Bihar,43578,33268,3997,4119
6,2016-17,Chandigarh,12,30,65,94
7,2016-17,Chhattisgarh,32969,14733,2551,3987
8,2016-17,Dadra & Nagar Haveli,173,129,24,21
9,2016-17,Daman & Diu,58,44,19,24
10,2016-17,Delhi,2724,920,368,1719
11,2016-17,Goa,958,79,399,115
12,2016-17,Gujarat,11865,29948,4481,6997
13,2016-17,Haryana,9968,4986,3355,4478
14,2016-17,Himachal Pradesh,11329,2909,1603,2367
15,2016-17,Jammu & Kashmir,14716,10275,3172,1069
16,2016-17,Jharkhand,26930,15913,3385,1520
17,2016-17,Karnataka,26583,30722,14003,4766
18,2016-17,Kerala,8347,4027,1790,2980
19,2016-17,Lakshadweep,17,13,2,13
20,2016-17,Madhya Pradesh,88301,48196,7759,8513
21,2016-17,Maharashtra,53215,29761,16648,9089
22,2016-17,Manipur,2909,951,902,216
23,2016-17,Meghalaya,9304,3598,1318,311
24,2016-17,Mizoram,1536,1541,648,164
25,2016-17,Nagaland,1274,814,571,172
26,2016-17,Odisha,36318,23096,9537,1519
27,2016-17,Puducherry,281,80,203,173
28,2016-17,Punjab,14242,5246,4480,4994
29,2016-17,Rajasthan,40193,37014,11234,17300
30,2016-17,Sikkim,737,350,143,87
31,2016-17,Tamil Nadu,35414,9708,5705,7206
32,2016-17,Telangana,21614,7443,11828,2249
33,2016-17,Tripura,2547,1272,623,420
34,2016-17,Uttar Pradesh,159597,78169,9832,17386
35,2016-17,Uttarakhand,15297,5171,1328,2265
36,2016-17,West Bengal,76954,9119,3290,7069
2016-17,2016-17,Total,840242,434844,144400,116125
1,2017-18,Andaman & Nicobar Islands,219,82,51,65
2,2017-18,Andhra Pradesh,39519,9571,12196,2347
3,2017-18,Arunachal Pradesh,2289,1308,303,161
4,2017-18,Assam,47857,12714,7308,2199
5,2017-18,Bihar,42724,37091,3650,4768
6,2017-18,Chandigarh,17,42,71,95
7,2017-18,Chhattisgarh,33208,16317,2561,4136
8,2017-18,Dadra & Nagar Haveli,169,131,24,22
9,2017-18,Daman & Diu,55,44,20,24
10,2017-18,Delhi,2708,905,374,1736
11,2017-18,Goa,928,78,401,118
12,2017-18,Gujarat,11942,30241,4694,7264
13,2017-18,Haryana,9974,5237,3243,4781
14,2017-18,Himachal Pradesh,11321,2861,1622,2491
15,2017-18,Jammu & Kashmir,14721,10335,3204,1075
16,2017-18,Jharkhand,27465,17105,3399,1561
17,2017-18,Karnataka,26306,31192,14582,4996
18,2017-18,Kerala,8232,4010,1785,2986
19,2017-18,Lakshadweep,15,16,1,13
20,2017-18,Madhya Pradesh,87770,49054,8107,8662
21,2017-18,Maharashtra,53453,30005,17164,9693
22,2017-18,Manipur,2574,1088,913,237
23,2017-18,Meghalaya,9409,3608,1380,339
24,2017-18,Mizoram,1535,1543,666,175
25,2017-18,Nagaland,1259,815,582,183
26,2017-18,Odisha,36070,22019,9464,1656
27,2017-18,Puducherry,282,78,196,177
28,2017-18,Punjab,14127,5205,4514,5080
29,2017-18,Rajasthan,38908,36996,11187,18423
30,2017-18,Sikkim,725,326,147,102
31,2017-18,Tamil Nadu,35605,9556,5814,7499
32,2017-18,Telangana,20881,7388,12090,2475
33,2017-18,Tripura,2564,1252,665,447
34,2017-18,Uttar Pradesh,164319,80582,11441,18944
35,2017-18,Uttarakhand,15081,5446,1308,2438
36,2017-18,West Bengal,78099,9262,3334,7279
2017-18,2017-18,Total,842330,443503,148461,124647
